track_id,time,x,y,vx,vy
0,0.0,0.9159756089657203,-0.9338536196902573,0.0,0.0
0,0.01,0.9136885334150169,-0.9561857423745083,-0.2287075550703399,-2.2332122684251
0,0.02,0.9111682705554992,-0.9807195546178156,-0.25202628595176746,-2.4533812243307307
0,0.03,0.9084456232393588,-1.0058395710503343,-0.27226473161403586,-2.512001643251871
0,0.04,0.9051851865125086,-1.0307446111336802,-0.326043672685028,-2.490504008334593
0,0.05,0.9002951282028948,-1.054780984282597,-0.4890058309613754,-2.4036373148916823
0,0.06,0.8909486332541355,-1.0769105141403643,-0.9346494948759276,-2.2129529857767283
0,0.07,0.8777997871199403,-1.0962611745126611,-1.3148846134195202,-1.9350660372296824
0,0.08,0.8611172334945056,-1.112503486526485,-1.6682553625434693,-1.6242312013823756
0,0.09,0.8428877251672202,-1.1267584611580346,-1.8229508327285426,-1.4254974631549677
0,0.1,0.8235255141526491,-1.1391819916786692,-1.936221101457114,-1.2423530520634607
0,0.11,0.803071360627363,-1.1496755170157993,-2.0454153525286123,-1.0493525337130105
0,0.12,0.7815783680546871,-1.1581259070891508,-2.1492992572675895,-0.8450390073351466
0,0.13,0.7591816596165488,-1.1644930470743238,-2.2396708438138235,-0.636713998517302
0,0.14,0.7360766917402609,-1.1688780089004216,-2.3104967876287907,-0.4384961826097822
0,0.15,0.712450348590908,-1.1714167556197659,-2.362634314935297,-0.2538746719344287
0,0.16,0.6884369775078795,-1.1722529658051835,-2.401337108302848,-0.08362101854175741
0,0.17,0.6641051884210076,-1.1715646908871091,-2.4331789086871836,0.06882749180743275
0,0.18,0.6394667295167996,-1.1695899532555492,-2.4638458904208016,0.19747376315599752
0,0.19,0.6144999915268929,-1.1666166356934018,-2.4966737989906673,0.29733175621473595
0,0.2,0.5891905601600875,-1.1629171621284933,-2.5309431366805413,0.36994735649085175
0,0.21,0.5636084254325342,-1.1586072681794832,-2.558213472755333,0.43098939490100463
0,0.22,0.53755097882496,-1.155997730796171,-2.6057446607574253,0.2609537383312155
0,0.23,0.5110451494677675,-1.1541280344322418,-2.650582935719248,0.18696963639293074
0,0.24,0.4841446496251491,-1.1527839773755786,-2.6900499842618384,0.13440570566631838
0,0.25,0.4569267514626228,-1.1519913901624343,-2.721789816252629,0.07925872131442357
0,0.26,0.4294869709539513,-1.1518094437878024,-2.7439780508671516,0.01819463746319805
0,0.27,0.40192990521528704,-1.1522547147633142,-2.7557065738664233,-0.04452709755118356
0,0.28,0.37435810881130144,-1.1532863586404878,-2.7571796403985602,-0.10316438771735825
0,0.29,0.34686153419548693,-1.154822976175055,-2.7496574615814504,-0.15366175345672417
0,0.3,0.31950953897304213,-1.1567729254663883,-2.7351995222444803,-0.19499492913332972
0,0.31,0.2923472516835296,-1.1590601172456185,-2.7162287289512532,-0.2287191779230202
0,0.32,0.2653976064514529,-1.1616298492292374,-2.694964523207671,-0.25697319836188726
0,0.33,0.2386688876380715,-1.164428828677405,-2.6728718813381374,-0.2798979448167538
0,0.34,0.2121656197887954,-1.1673664075985124,-2.650326784927612,-0.29375789211074643
0,0.35000000000000003,0.18589952488257577,-1.170273446697667,-2.6266094906219615,-0.29070390991545736
0,0.36,0.15989796337352657,-1.1728771196891725,-2.60015615090492,-0.26036729915055457
0,0.37,0.1342090871723862,-1.1748042202361288,-2.568887620114038,-0.19271005469563285
0,0.38,0.10890454878904508,-1.175615111700894,-2.530453838334111,-0.08108914647650955
0,0.39,0.0840815789113879,-1.1748595492404026,-2.4822969877657184,0.07555624604913547
0,0.4,0.05986631772620936,-1.1721384520178049,-2.4215261185178543,0.27210972225977237
0,0.41000000000000003,0.03641882201395432,-1.167154941233443,-2.344749571225504,0.49835107843618776
0,0.42,0.013937645204684065,-1.1597433010589906,-2.248117680927025,0.7411640174452394
0,0.43,-0.007339514229615874,-1.1498731788391543,-2.127715943429994,0.9870122219836297
0,0.44,-0.02714128087525565,-1.137634622574012,-1.9801766645639776,1.2238556265142364
0,0.45,-0.04517336284821021,-1.1232138189773186,-1.8032081972954561,1.4420803596693288
0,0.46,-0.061131573474287076,-1.1068687703783615,-1.5958210626076863,1.6345048598957135
0,0.47000000000000003,-0.07471475262707036,-1.08890995019376,-1.3583179152783287,1.7958820184601487
0,0.48,-0.08563866730896674,-1.0696858156781102,-1.0923914681896378,1.922413451564986
0,0.49,-0.09365552128061344,-1.0495697910807291,-0.8016853971646698,2.0116024597381044
0,0.5,-0.09858351941587283,-1.0289450706724221,-0.492799813525939,2.0624720408306985
0,0.51,-0.1003452450510456,-1.0081851586225956,-0.17617256351727673,2.0759912049826523
0,0.52,-0.09900516437911218,-0.9876299753494973,0.1340080671933419,2.0555183273098354
